patron_id,patron_type,age_range,home_library,total_checkouts
P0208,At User Senior,75 years and over,Mission Bay,1
P0208,Digital Access Card,55 to 59 years,Mission Bay,1
P0208,Digital Access Card,60 to 64 years,Presidio,1
P0208,Digital Access Card,75 years and over,Ocean View,1
P0208,Juvenile,0 to 9 years,Mission Bay,1
P0208,Teacher Card,45 to 54 years,Park,1
P0208,Welcome,20 to 24 years,Eureka Valley,1
P0208,Welcome,20 to 24 years,Marina,2
P0208,Welcome,35 to 44 years,Eureka Valley,1
P0209,Adult,20 to 24 years,North Beach,1
P0209,Adult,20 to 24 years,Null,1
P0209,Adult,55 to 59 years,Golden Gate Valley,1
P0209,Adult,60 to 64 years,Sunset,1
P0209,Adult,75 years and over,Mission,1
P0209,At User Adult,45 to 54 years,Mission Bay,1
P0209,Retired Staff,Null,North Beach,1
P0209,Teacher Card,45 to 54 years,Western Addition,1
P0209,Teacher Card,65 to 74 years,Chinatown,1
P0209,Teacher Card,65 to 74 years,Portola,1
P0209,Teen,10 to 19 years,North Beach,1
P0209,Visitor,45 to 54 years,Golden Gate Valley,1
P0209,Welcome,0 to 9 years,Excelsior,1
P0209,Welcome,10 to 19 years,West Portal,1
P0209,Welcome,25 to 34 years,Anza,1
P0210,Adult,10 to 19 years,Main,1
P0210,Adult,35 to 44 years,Mission Bay,1
P0210,Adult,60 to 64 years,Main,1
P0210,Adult,Null,Richmond,1
P0210,At User Teen,10 to 19 years,Main,1
P0210,Bibliocommons,25 to 34 years,Eureka Valley,1
P0210,Digital Access Card,20 to 24 years,Anza,1
P0210,Digital Access Card,65 to 74 years,North Beach,1
P0210,Library By Mail,35 to 44 years,Main,1
P0210,Senior,60 to 64 years,Mission,1
P0210,Teacher Card,25 to 34 years,Bayview,1
P0210,Teacher Card,35 to 44 years,Bernal Heights,1
P0210,Teacher Card,65 to 74 years,Glen Park,1
P0210,Welcome,20 to 24 years,Potrero,1
P0210,Welcome,65 to 74 years,Merced,1
P0211,Adult,10 to 19 years,Merced,1
P0211,Adult,35 to 44 years,Parkside,1
P0211,Digital Access Card,10 to 19 years,Parkside,1
P0211,Digital Access Card,35 to 44 years,Excelsior,1
P0211,Juvenile,0 to 9 years,Bookmobile,1
P0211,Juvenile,0 to 9 years,Presidio,1
P0211,Senior,60 to 64 years,Bernal Heights,1
P0211,Senior,Null,Ortega,1
P0211,Teacher Card,10 to 19 years,Noe Valley,1
P0211,Visitor,25 to 34 years,Ingleside,1
P0211,Welcome,20 to 24 years,Portola,1
P0211,Welcome,20 to 24 years,West Portal,1
P0211,Welcome,65 to 74 years,Eureka Valley,1
P0211,Welcome,65 to 74 years,Marina,1
P0211,Welcome,75 years and over,Sunset,1
P0212,Adult,35 to 44 years,Richmond,1
P0212,Adult,60 to 64 years,Park,1
P0212,Adult,75 years and over,Presidio,1
P0212,Digital Access Card,35 to 44 years,Marina,1
P0212,Digital Access Card,65 to 74 years,Presidio,1
P0212,Digital Access Card,65 to 74 years,Western Addition,1
P0212,Juvenile,0 to 9 years,Visitacion Valley,1
P0212,Retired Staff,75 years and over,Bookmobile,1
P0212,Senior,60 to 64 years,Mission,1
P0212,Teacher Card,45 to 54 years,Ortega,1
P0212,Teacher Card,55 to 59 years,North Beach,1
P0212,Visitor,45 to 54 years,Sunset,1
P0212,Visitor,60 to 64 years,Noe Valley,1
P0212,Welcome,0 to 9 years,Mission,1
P0212,Welcome,55 to 59 years,North Beach,1
P0213,At User Adult,55 to 59 years,Marina,1
P0213,Digital Access Card,25 to 34 years,Sunset,1
P0213,Digital Access Card,45 to 54 years,Ingleside,1
P0213,Digital Access Card,60 to 64 years,Parkside,1
P0213,Juvenile,0 to 9 years,Richmond,1
P0213,Retired Staff,65 to 74 years,Ingleside,1
P0213,Teacher Card,0 to 9 years,Richmond,1
P0213,Teacher Card,25 to 34 years,West Portal,1
P0213,Teacher Card,35 to 44 years,Merced,1
P0213,Teacher Card,35 to 44 years,Presidio,1
P0213,Teen,35 to 44 years,North Beach,1
P0213,Visitor,25 to 34 years,Eureka Valley,1
P0213,Welcome,35 to 44 years,Anza,1
P0213,Welcome,45 to 54 years,Ingleside,1
P0213,Welcome,Null,Sunset,1
P0214,Adult,10 to 19 years,Mission,1
P0214,Adult,35 to 44 years,Anza,1
P0214,Adult,35 to 44 years,Mission Bay,1
P0214,Digital Access Card,45 to 54 years,Ingleside,1
P0214,Juvenile,0 to 9 years,Noe Valley,1
P0214,Retired Staff,75 years and over,Excelsior,1
P0214,Senior,60 to 64 years,Excelsior,1
P0214,Senior,60 to 64 years,Mission Bay,1
P0214,Senior,65 to 74 years,Merced,1
P0214,Senior,Null,Golden Gate Valley,1
P0214,Teacher Card,45 to 54 years,West Portal,1
P0214,Visitor,10 to 19 years,Mission,1
P0214,Visitor,55 to 59 years,North Beach,1
P0214,Welcome,20 to 24 years,Chinatown,1
P0214,Welcome,60 to 64 years,Golden Gate Valley,1
P0215,Adult,25 to 34 years,Anza,1
P0215,Adult,45 to 54 years,Potrero,1
P0215,Digital Access Card,25 to 34 years,Mission Bay,1
P0215,Digital Access Card,45 to 54 years,Glen Park,1
P0215,Digital Access Card,55 to 59 years,Anza,1
P0215,Digital Access Card,65 to 74 years,Eureka Valley,1
P0215,Digital Access Card,65 to 74 years,Excelsior,1
P0215,Retired Staff,75 years and over,Richmond,1
P0215,Teacher Card,55 to 59 years,Anza,1
P0215,Teacher Card,60 to 64 years,Merced,1
P0215,Teacher Card,65 to 74 years,Marina,1
P0215,Visitor,65 to 74 years,Mission,1
P0215,Welcome,0 to 9 years,Ingleside,1
P0215,Welcome,45 to 54 years,Richmond,1
P0215,Welcome,55 to 59 years,Glen Park,1
P0216,Adult,35 to 44 years,Bernal Heights,1
P0216,Adult,45 to 54 years,Ocean View,1
P0216,Adult,65 to 74 years,Bookmobile,1
P0216,Adult,75 years and over,Marina,1
P0216,Digital Access Card,35 to 44 years,Glen Park,1
P0216,Digital Access Card,60 to 64 years,Merced,1
P0216,Digital Access Card,75 years and over,Bernal Heights,1
P0216,Senior,55 to 59 years,Bookmobile,1
P0216,Teacher Card,45 to 54 years,Bernal Heights,1
P0216,Teacher Card,Null,Glen Park,1
P0216,Welcome,20 to 24 years,Western Addition,1
P0216,Welcome,55 to 59 years,Bernal Heights,1
P0216,Welcome,60 to 64 years,Ingleside,1
P0216,Welcome,60 to 64 years,North Beach,1
P0216,Welcome,75 years and over,Bayview,1
P0217,Adult,35 to 44 years,Bernal Heights,1
P0217,Adult,35 to 44 years,Mission Bay,1
P0217,Adult,55 to 59 years,Main,1
P0217,Adult,60 to 64 years,Chinatown,1
P0217,Digital Access Card,10 to 19 years,Ocean View,1
P0217,Digital Access Card,20 to 24 years,Visitacion Valley,1
P0217,Digital Access Card,55 to 59 years,Parkside,1
P0217,Juvenile,25 to 34 years,Ocean View,1
P0217,Retired Staff,Null,Richmond,1
P0217,Senior,55 to 59 years,Ortega,1
P0217,Senior,65 to 74 years,Merced,1
P0217,Teacher Card,35 to 44 years,Richmond,1
P0217,Teacher Card,60 to 64 years,Merced,1
P0217,Teacher Card,75 years and over,Eureka Valley,1
P0217,Welcome,45 to 54 years,West Portal,1
P0218,Adult,0 to 9 years,Golden Gate Valley,1
P0218,Adult,0 to 9 years,Portola,1
P0218,Adult,10 to 19 years,North Beach,1
P0218,Adult,25 to 34 years,Ortega,1
P0218,At User Senior,65 to 74 years,Main,1
P0218,At User Welcome,10 to 19 years,Main,1
P0218,Bibliocommons,25 to 34 years,Eureka Valley,1
P0218,Digital Access Card,55 to 59 years,Eureka Valley,1
P0218,Digital Access Card,55 to 59 years,Mission,1
P0218,Senior,60 to 64 years,Bayview,1
P0218,Senior,60 to 64 years,West Portal,1
P0218,Teacher Card,45 to 54 years,Ocean View,1
P0218,Teacher Card,55 to 59 years,Sunset,1
P0218,Teacher Card,55 to 59 years,West Portal,1
P0218,Welcome,25 to 34 years,Western Addition,1
P0219,Adult,60 to 64 years,Portola,1
P0219,Adult,65 to 74 years,Park,1
P0219,At User Juvenile,10 to 19 years,Main,1
P0219,At User Senior,65 to 74 years,Bayview,1
P0219,At User Welcome,10 to 19 years,Main,1
P0219,At User Welcome,75 years and over,Main,1
P0219,Digital Access Card,0 to 9 years,Bayview,1
P0219,Digital Access Card,10 to 19 years,Main,1
P0219,Digital Access Card,25 to 34 years,Chinatown,1
P0219,Digital Access Card,25 to 34 years,Portola,1
P0219,Digital Access Card,60 to 64 years,Anza,1
P0219,Digital Access Card,65 to 74 years,Bernal Heights,1
P0219,Teacher Card,60 to 64 years,Merced,1
P0219,Visitor,60 to 64 years,Presidio,1
P0219,Welcome,45 to 54 years,Richmond,1
P0220,Adult,25 to 34 years,Mission Bay,1
P0220,Adult,45 to 54 years,Excelsior,1
P0220,Adult,55 to 59 years,Portola,1
P0220,At User Adult,35 to 44 years,Mission Bay,1
P0220,Digital Access Card,20 to 24 years,Park,1
P0220,Digital Access Card,55 to 59 years,Merced,1
P0220,Juvenile,0 to 9 years,Ocean View,1
P0220,Juvenile,10 to 19 years,Parkside,1
P0220,Retired Staff,65 to 74 years,West Portal,1
P0220,Senior,65 to 74 years,Anza,1
P0220,Senior,Null,Merced,1
P0220,Teacher Card,35 to 44 years,Presidio,1
P0220,Teacher Card,65 to 74 years,Visitacion Valley,1
P0220,Teen,10 to 19 years,Mission,1
P0220,Welcome,55 to 59 years,Bernal Heights,1
P0221,Adult,0 to 9 years,Portola,1
P0221,Adult,35 to 44 years,Marina,1
P0221,Adult,45 to 54 years,Noe Valley,1
P0221,Adult,45 to 54 years,Sunset,1
P0221,At User Adult,35 to 44 years,Chinatown,1
P0221,Digital Access Card,25 to 34 years,Golden Gate Valley,1
P0221,Juvenile,35 to 44 years,Merced,1
P0221,Senior,55 to 59 years,Main,1
P0221,Senior,60 to 64 years,Marina,1
P0221,Senior,Null,Ortega,1
P0221,Teacher Card,35 to 44 years,Eureka Valley,1
P0221,Teacher Card,45 to 54 years,Main,1
P0221,Teacher Card,55 to 59 years,West Portal,1
P0221,Welcome,55 to 59 years,Excelsior,1
P0221,Welcome,75 years and over,Main,1
P0222,Adult,0 to 9 years,Eureka Valley,1
P0222,Adult,25 to 34 years,Golden Gate Valley,1
P0222,Digital Access Card,45 to 54 years,Anza,1
P0222,Senior,75 years and over,Visitacion Valley,1
P0222,Teacher Card,20 to 24 years,Park,1
P0222,Teacher Card,45 to 54 years,Ocean View,1
P0222,Teen,10 to 19 years,Chinatown,1
P0222,Welcome,0 to 9 years,Ingleside,1
P0222,Welcome,20 to 24 years,Main,1
P0222,Welcome,20 to 24 years,Sunset,1
P0222,Welcome,25 to 34 years,Visitacion Valley,1
P0222,Welcome,35 to 44 years,Richmond,1
P0222,Welcome,45 to 54 years,Bookmobile,1
P0222,Welcome,55 to 59 years,Bookmobile,1
P0222,Welcome,75 years and over,Main,1
P0223,Adult,25 to 34 years,Eureka Valley,1
P0223,Adult,35 to 44 years,Golden Gate Valley,1
P0223,Adult,45 to 54 years,Null,1
P0223,At User Adult,55 to 59 years,Noe Valley,1
P0223,Digital Access Card,35 to 44 years,Visitacion Valley,1
P0223,Retired Staff,Null,Ortega,1
P0223,Teacher Card,25 to 34 years,Golden Gate Valley,1
P0223,Teacher Card,55 to 59 years,Noe Valley,1
P0223,Visitor,25 to 34 years,Mission,1
P0223,Visitor,65 to 74 years,Visitacion Valley,1
P0223,Welcome,0 to 9 years,Excelsior,1
P0223,Welcome,0 to 9 years,Richmond,1
P0223,Welcome,55 to 59 years,Bernal Heights,1
P0223,Welcome,55 to 59 years,Potrero,1
P0223,Welcome,65 to 74 years,Richmond,1
P0224,Adult,25 to 34 years,Mission,1
P0224,Adult,35 to 44 years,Sunset,1
P0224,Adult,60 to 64 years,Western Addition,1
P0224,Adult,65 to 74 years,Ortega,1
P0224,Adult,75 years and over,West Portal,1
P0224,Juvenile,0 to 9 years,Excelsior,1
P0224,Retired Staff,Null,Main,1
P0224,Senior,55 to 59 years,Richmond,1
P0224,Teacher Card,75 years and over,Chinatown,1
P0224,Visitor,60 to 64 years,Richmond,1
P0224,Visitor,65 to 74 years,Sunset,1
P0224,Welcome,10 to 19 years,Bernal Heights,1
P0224,Welcome,10 to 19 years,Mission Bay,1
P0224,Welcome,25 to 34 years,Golden Gate Valley,1
P0224,Welcome,55 to 59 years,Chinatown,1
P0225,Adult,35 to 44 years,Merced,1
P0225,Adult,65 to 74 years,Portola,1
P0225,Business,75 years and over,Main,1
P0225,Digital Access Card,25 to 34 years,Richmond,1
P0225,Digital Access Card,65 to 74 years,Main,1
P0225,Juvenile,10 to 19 years,Golden Gate Valley,1
P0225,Juvenile,35 to 44 years,Park,1
P0225,Juvenile,Null,Mission,1
P0225,Senior,60 to 64 years,Parkside,1
P0225,Senior,65 to 74 years,Golden Gate Valley,1
P0225,Senior,65 to 74 years,Visitacion Valley,1
P0225,Teacher Card,45 to 54 years,North Beach,1
P0225,Teacher Card,60 to 64 years,Main,1
P0225,Visitor,20 to 24 years,Mission,1
P0225,Welcome,0 to 9 years,Western Addition,1
P0226,Adult,45 to 54 years,Ingleside,1
P0226,Adult,45 to 54 years,Mission,1
P0226,Adult,Null,Chinatown,1
P0226,Digital Access Card,25 to 34 years,West Portal,1
P0226,Digital Access Card,35 to 44 years,Anza,1
P0226,Digital Access Card,60 to 64 years,Ingleside,1
P0226,Juvenile,10 to 19 years,Anza,1
P0226,Juvenile,10 to 19 years,Portola,1
P0226,Teacher Card,45 to 54 years,Parkside,1
P0226,Teacher Card,45 to 54 years,Sunset,1
P0226,Teacher Card,60 to 64 years,Eureka Valley,1
P0226,Teacher Card,60 to 64 years,Ocean View,1
P0226,Welcome,25 to 34 years,North Beach,1
P0226,Welcome,45 to 54 years,Parkside,1
P0226,Welcome,60 to 64 years,Visitacion Valley,1
P0227,Adult,0 to 9 years,North Beach,1
P0227,At User Adult,60 to 64 years,Mission Bay,1
P0227,At User Welcome,10 to 19 years,Ocean View,1
P0227,Bibliocommons,25 to 34 years,Main,1
P0227,Digital Access Card,25 to 34 years,Richmond,1
P0227,Digital Access Card,75 years and over,Marina,1
P0227,Juvenile,10 to 19 years,Park,1
P0227,Senior,35 to 44 years,Bookmobile,1
P0227,Teacher Card,20 to 24 years,Western Addition,1
P0227,Teacher Card,25 to 34 years,Merced,1
P0227,Teen,10 to 19 years,North Beach,1
P0227,Visitor,25 to 34 years,Mission,1
P0227,Welcome,55 to 59 years,Ocean View,1
P0227,Welcome,75 years and over,Park,1
P0227,Welcome,Null,Sunset,1
P0228,Adult,35 to 44 years,Anza,1
P0228,Adult,Null,Western Addition,1
P0228,At User Adult,20 to 24 years,Ocean View,1
P0228,At User Juvenile,10 to 19 years,Main,1
P0228,Digital Access Card,20 to 24 years,Bayview,1
P0228,Digital Access Card,65 to 74 years,Glen Park,1
P0228,Digital Access Card,Null,Sunset,1
P0228,Juvenile,10 to 19 years,Sunset,1
P0228,Juvenile,75 years and over,Excelsior,1
P0228,Senior,75 years and over,Chinatown,1
P0228,Teacher Card,55 to 59 years,Main,1
P0228,Teacher Card,60 to 64 years,Presidio,1
P0228,Teacher Card,65 to 74 years,West Portal,1
P0228,Visitor,25 to 34 years,Visitacion Valley,1
P0228,Welcome,35 to 44 years,Bookmobile,1
P0229,Adult,45 to 54 years,Visitacion Valley,1
P0229,Digital Access Card,20 to 24 years,Glen Park,1
P0229,Digital Access Card,25 to 34 years,Merced,1
P0229,Digital Access Card,55 to 59 years,Mission,1
P0229,Digital Access Card,60 to 64 years,Anza,1
P0229,Juvenile,0 to 9 years,Western Addition,1
P0229,Juvenile,45 to 54 years,Mission,1
P0229,Teacher Card,65 to 74 years,Ocean View,1
P0229,Teacher Card,75 years and over,Glen Park,1
P0229,Teen,10 to 19 years,Ocean View,1
P0229,Visitor,45 to 54 years,Eureka Valley,1
P0229,Visitor,45 to 54 years,Potrero,1
P0229,Visitor,45 to 54 years,Presidio,1
P0229,Welcome,0 to 9 years,Park,1
P0229,Welcome,45 to 54 years,Bernal Heights,1
P0230,Adult,45 to 54 years,Ocean View,1
P0230,Adult,65 to 74 years,Parkside,1
P0230,At User Adult,55 to 59 years,Main,1
P0230,Digital Access Card,20 to 24 years,Visitacion Valley,1
P0230,Digital Access Card,45 to 54 years,Eureka Valley,1
P0230,Digital Access Card,Null,Golden Gate Valley,1
P0230,Juvenile,10 to 19 years,Main,1
P0230,Juvenile,Null,Golden Gate Valley,1
P0230,Retired Staff,65 to 74 years,North Beach,1
P0230,Teacher Card,45 to 54 years,Mission Bay,1
P0230,Teacher Card,55 to 59 years,Richmond,1
P0230,Teacher Card,60 to 64 years,Excelsior,1
P0230,Teen,10 to 19 years,Anza,1
P0230,Welcome,10 to 19 years,Bayview,1
P0230,Welcome,75 years and over,Sunset,1
P0231,Adult,0 to 9 years,Potrero,1
P0231,Adult,25 to 34 years,Western Addition,1
P0231,Adult,60 to 64 years,West Portal,1
P0231,Adult,Null,Noe Valley,1
P0231,Digital Access Card,65 to 74 years,Marina,1
P0231,Juvenile,0 to 9 years,Mission,1
P0231,Juvenile,0 to 9 years,Ocean View,1
P0231,Retired Staff,55 to 59 years,Richmond,1
P0231,Teacher Card,25 to 34 years,Portola,1
P0231,Teacher Card,35 to 44 years,Golden Gate Valley,1
P0231,Visitor,10 to 19 years,Mission,1
P0231,Visitor,10 to 19 years,West Portal,1
P0231,Welcome,55 to 59 years,Glen Park,1
P0231,Welcome,60 to 64 years,West Portal,1
P0231,Welcome,75 years and over,Ingleside,1
P0232,Adult,10 to 19 years,Visitacion Valley,1
P0232,Adult,25 to 34 years,Presidio,1
P0232,Digital Access Card,10 to 19 years,Parkside,1
P0232,Digital Access Card,20 to 24 years,Golden Gate Valley,1
P0232,Digital Access Card,25 to 34 years,Park,1
P0232,Digital Access Card,25 to 34 years,Presidio,1
P0232,Juvenile,35 to 44 years,Merced,1
P0232,Teacher Card,20 to 24 years,Park,1
P0232,Teacher Card,65 to 74 years,Chinatown,1
P0232,Teacher Card,Null,Marina,1
P0232,Visitor,45 to 54 years,Golden Gate Valley,1
P0232,Welcome,25 to 34 years,Marina,1
P0232,Welcome,65 to 74 years,West Portal,1
P0232,Welcome,75 years and over,Bayview,1
P0232,Welcome,Null,Marina,1
P0233,Adult,10 to 19 years,Sunset,1
P0233,Adult,45 to 54 years,Golden Gate Valley,1
P0233,Adult,55 to 59 years,Bernal Heights,1
P0233,Adult,55 to 59 years,Golden Gate Valley,1
P0233,Adult,75 years and over,Bayview,1
P0233,At User Senior,65 to 74 years,Mission,1
P0233,Digital Access Card,25 to 34 years,Bayview,1
P0233,Digital Access Card,55 to 59 years,Bayview,1
P0233,Retired Staff,Null,Noe Valley,1
P0233,Teacher Card,35 to 44 years,North Beach,1
P0233,Teacher Card,55 to 59 years,Main,1
P0233,Welcome,10 to 19 years,Portola,1
P0233,Welcome,45 to 54 years,Eureka Valley,1
P0233,Welcome,65 to 74 years,Ortega,1
P0233,Welcome,75 years and over,Ocean View,1
P0234,Adult,10 to 19 years,Presidio,1
P0234,Adult,20 to 24 years,Golden Gate Valley,1
P0234,Adult,45 to 54 years,Ocean View,1
P0234,Adult,55 to 59 years,Portola,1
P0234,At User Senior,65 to 74 years,Merced,1
P0234,Digital Access Card,55 to 59 years,Western Addition,1
P0234,Digital Access Card,60 to 64 years,Ingleside,1
P0234,Digital Access Card,65 to 74 years,Glen Park,1
P0234,Senior,Null,Golden Gate Valley,1
P0234,Teacher Card,20 to 24 years,Bernal Heights,1
P0234,Welcome,25 to 34 years,Richmond,1
P0234,Welcome,25 to 34 years,West Portal,1
P0234,Welcome,35 to 44 years,Noe Valley,1
P0234,Welcome,65 to 74 years,Mission Bay,1
P0234,Welcome,75 years and over,Anza,1
P0235,Adult,45 to 54 years,Eureka Valley,1
P0235,Adult,60 to 64 years,Sunset,1
P0235,Adult,Null,Western Addition,1
P0235,At User Adult,55 to 59 years,Mission,1
P0235,Digital Access Card,35 to 44 years,Potrero,1
P0235,Digital Access Card,55 to 59 years,Parkside,1
P0235,Digital Access Card,60 to 64 years,Noe Valley,1
P0235,Juvenile,0 to 9 years,Glen Park,1
P0235,Senior,55 to 59 years,Park,1
P0235,Teacher Card,20 to 24 years,Merced,1
P0235,Teacher Card,25 to 34 years,Potrero,1
P0235,Teacher Card,45 to 54 years,Anza,1
P0235,Teacher Card,75 years and over,Ortega,1
P0235,Welcome,55 to 59 years,Potrero,1
P0235,Welcome,60 to 64 years,Main,1
P0236,Business,Null,Main,1
P0236,Digital Access Card,45 to 54 years,Mission,1
P0236,Digital Access Card,45 to 54 years,Noe Valley,1
P0236,Digital Access Card,65 to 74 years,Potrero,1
P0236,Juvenile,0 to 9 years,Glen Park,1
P0236,Retired Staff,Null,West Portal,1
P0236,Senior,35 to 44 years,Western Addition,1
P0236,Senior,Null,North Beach,1
P0236,Teacher Card,Null,Richmond,1
P0236,Teen,10 to 19 years,Bayview,1
P0236,Visitor,55 to 59 years,Main,1
P0236,Welcome,35 to 44 years,Excelsior,1
P0236,Welcome,45 to 54 years,Richmond,1
P0236,Welcome,60 to 64 years,Anza,1
P0236,Welcome,60 to 64 years,Visitacion Valley,1
P0237,Adult,25 to 34 years,Merced,1
P0237,Adult,35 to 44 years,North Beach,1
P0237,Adult,Null,Mission,1
P0237,Digital Access Card,0 to 9 years,Bayview,1
P0237,Digital Access Card,20 to 24 years,Excelsior,1
P0237,Digital Access Card,25 to 34 years,West Portal,1
P0237,Digital Access Card,35 to 44 years,Golden Gate Valley,1
P0237,Digital Access Card,35 to 44 years,West Portal,1
P0237,Digital Access Card,75 years and over,Mission Bay,1
P0237,Senior,60 to 64 years,Marina,1
P0237,Senior,65 to 74 years,Western Addition,1
P0237,Teen,10 to 19 years,Bayview,1
P0237,Visitor,45 to 54 years,Presidio,1
P0237,Welcome,35 to 44 years,Marina,1
P0237,Welcome,75 years and over,Ortega,1
P0238,Adult,20 to 24 years,North Beach,1
P0238,Adult,20 to 24 years,Richmond,1
P0238,Adult,Null,Eureka Valley,1
P0238,Adult,Null,Glen Park,1
P0238,Retired Staff,55 to 59 years,West Portal,1
P0238,Retired Staff,Null,Chinatown,1
P0238,Senior,65 to 74 years,Bernal Heights,1
P0238,Senior,65 to 74 years,Mission Bay,1
P0238,Teacher Card,45 to 54 years,Chinatown,1
P0238,Teacher Card,65 to 74 years,Noe Valley,1
P0238,Teen,10 to 19 years,Anza,1
P0238,Welcome,10 to 19 years,Ocean View,1
P0238,Welcome,45 to 54 years,Park,1
P0238,Welcome,55 to 59 years,Presidio,1
P0238,Welcome,65 to 74 years,Ortega,1
P0239,Adult,10 to 19 years,Ingleside,1
P0239,At User Senior,65 to 74 years,North Beach,1
P0239,Digital Access Card,45 to 54 years,Visitacion Valley,1
P0239,Digital Access Card,55 to 59 years,Anza,1
P0239,Juvenile,0 to 9 years,Park,1
P0239,Senior,45 to 54 years,Merced,1
P0239,Teacher Card,20 to 24 years,Park,1
P0239,Teacher Card,55 to 59 years,Portola,2
P0239,Teacher Card,60 to 64 years,Marina,1
P0239,Welcome,10 to 19 years,Presidio,1
P0239,Welcome,20 to 24 years,Western Addition,1
P0239,Welcome,60 to 64 years,North Beach,1
P0239,Welcome,65 to 74 years,Main,1
P0239,Welcome,65 to 74 years,Marina,1
P0240,Adult,0 to 9 years,Main,1
P0240,Adult,20 to 24 years,Anza,1
P0240,Adult,20 to 24 years,Main,1
P0240,Adult,35 to 44 years,Ocean View,1
P0240,Adult,Null,Richmond,1
P0240,Digital Access Card,Null,Anza,1
P0240,Senior,55 to 59 years,Parkside,1
P0240,Senior,60 to 64 years,West Portal,1
P0240,Teacher Card,20 to 24 years,Park,1
P0240,Teacher Card,25 to 34 years,Golden Gate Valley,1
P0240,Teacher Card,25 to 34 years,Merced,1
P0240,Teacher Card,45 to 54 years,Noe Valley,1
P0240,Teacher Card,60 to 64 years,Potrero,1
P0240,Teen,10 to 19 years,North Beach,1
P0240,Welcome,75 years and over,Park,1
P0241,Adult,20 to 24 years,Bernal Heights,1
P0241,Adult,55 to 59 years,Glen Park,1
P0241,Adult,75 years and over,Excelsior,1
P0241,At User Senior,75 years and over,North Beach,1
P0241,Digital Access Card,35 to 44 years,Chinatown,1
P0241,Digital Access Card,60 to 64 years,Mission Bay,1
P0241,Digital Access Card,65 to 74 years,Richmond,1
P0241,Juvenile,0 to 9 years,Visitacion Valley,1
P0241,Juvenile,10 to 19 years,Portola,1
P0241,Teacher Card,60 to 64 years,Richmond,1
P0241,Teacher Card,65 to 74 years,Richmond,1
P0241,Teen,10 to 19 years,North Beach,1
P0241,Welcome,25 to 34 years,Noe Valley,1
P0241,Welcome,55 to 59 years,Golden Gate Valley,1
P0241,Welcome,65 to 74 years,Golden Gate Valley,1
P0242,Adult,10 to 19 years,Ingleside,1
P0242,Adult,20 to 24 years,Golden Gate Valley,1
P0242,Adult,35 to 44 years,Anza,1
P0242,Adult,55 to 59 years,Golden Gate Valley,1
P0242,Adult,60 to 64 years,Bookmobile,1
P0242,Adult,60 to 64 years,Presidio,1
P0242,Adult,65 to 74 years,Portola,1
P0242,Adult,75 years and over,North Beach,1
P0242,Digital Access Card,25 to 34 years,Anza,1
P0242,Digital Access Card,55 to 59 years,Marina,1
P0242,Retired Staff,Null,Western Addition,1
P0242,Teacher Card,45 to 54 years,Bernal Heights,1
P0242,Visitor,20 to 24 years,Parkside,1
P0242,Visitor,35 to 44 years,Marina,1
P0242,Welcome,65 to 74 years,Noe Valley,1
P0243,Adult,0 to 9 years,Visitacion Valley,1
P0243,Adult,25 to 34 years,Anza,1
P0243,Adult,60 to 64 years,Glen Park,1
P0243,Adult,60 to 64 years,Potrero,1
P0243,Adult,60 to 64 years,Visitacion Valley,1
P0243,Adult,75 years and over,Marina,1
P0243,At User Senior,75 years and over,Presidio,1
P0243,Digital Access Card,25 to 34 years,Chinatown,1
P0243,Digital Access Card,65 to 74 years,Main,1
P0243,Digital Access Card,75 years and over,Ocean View,1
P0243,Senior,65 to 74 years,Portola,1
P0243,Teacher Card,35 to 44 years,West Portal,1
P0243,Welcome,25 to 34 years,Parkside,1
P0243,Welcome,25 to 34 years,West Portal,1
P0243,Welcome,60 to 64 years,West Portal,1
P0244,Adult,25 to 34 years,Richmond,1
P0244,Adult,35 to 44 years,Western Addition,1
P0244,Adult,65 to 74 years,Merced,1
P0244,Business,Null,Main,1
P0244,Digital Access Card,45 to 54 years,Bernal Heights,1
P0244,Digital Access Card,45 to 54 years,North Beach,1
P0244,Digital Access Card,60 to 64 years,Main,1
P0244,Digital Access Card,60 to 64 years,Parkside,1
P0244,Juvenile,10 to 19 years,Noe Valley,1
P0244,Retired Staff,Null,Excelsior,1
P0244,Retired Staff,Null,Park,1
P0244,Teacher Card,55 to 59 years,Bernal Heights,1
P0244,Teen,10 to 19 years,Mission,1
P0244,Welcome,0 to 9 years,Eureka Valley,1
P0244,Welcome,25 to 34 years,Bayview,1
P0245,Adult,35 to 44 years,Ortega,1
P0245,Adult,45 to 54 years,Ortega,1
P0245,Adult,65 to 74 years,Mission Bay,1
P0245,Digital Access Card,0 to 9 years,Main,1
P0245,Retired Staff,65 to 74 years,Sunset,1
P0245,Retired Staff,Null,Western Addition,1
P0245,Senior,65 to 74 years,Eureka Valley,2
P0245,Teacher Card,0 to 9 years,Main,1
P0245,Teacher Card,65 to 74 years,Noe Valley,1
P0245,Teen,10 to 19 years,Ocean View,1
P0245,Teen,10 to 19 years,West Portal,1
P0245,Visitor,20 to 24 years,Bayview,1
P0245,Visitor,45 to 54 years,Presidio,1
P0245,Welcome,75 years and over,Sunset,1
P0246,Adult,0 to 9 years,Main,1
P0246,Adult,25 to 34 years,Presidio,1
P0246,Adult,35 to 44 years,Park,1
